NCPPB	NCPPB Notes	Taxon	Name	Name as Received	Sequencing - Sequenced	Other - Sequence type(s)	Other - Partial Gene Type	Other - Sequencing Notes	Other - URL link (NCBI)	Other - URL link (Q-bank)	Collection History - Year of Isolation	Collection History - Country of Isolation	Collection History - Isolated By	Collection History - Isolater's Reference	Collection History - Isolated From	Collection History - Country of Origin	Collection History - Year of Accession	Collection History - Donor	Collection History - Donor Reference	Collection History - Donor Institution	Collection History - Host	Reference - Other Collections	Other - Public Notes
4129	"Deleted not a plant pathogen and duplication, =NCPPB 4129 and NCPPB 4166"	Ralstonia pickettii	Ralstonia pickettii (Ralston et al. 1973) Yabuuchi et al. 1996	Ralstonia pickettii (Ralston et al. 1973) Yabuuchi et al. 1996													2000	J.Elphinstone				",NCPPB 3899, NCPPB 4166, ATCC 11149"	
4049	Acceded 05/99 CM	Wautersia eutropha	Ralstonia eutropha( Davis 1969) Yabuuchi et al. 1996	Ralstonia eutropha													1999	NCIMB				NCIMB 10442 ATCC17699 ATCC23440 CCUG13797 DSM428 IAM12567 LMG1201	
4048	Acceded 05/99 CM	Wautersia eutropha	Ralstonia eutropha( Davis 1969) Yabuuchi et al. 1996	Ralstonia eutropha													1999	NCIMB	NCIMB 11842			ATCC17697 ICPB3984 IMET10383 NRRLB2804 CCUG1776 DSM531 LMG1199	
4029		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Sri Lanka	1997	---	R297	ex CMI	Solanum tuberosum	"SMT 48, CFBP 4615"	"Biovar 4.SMT reference strain (EC official method),"
4028	"FAP,OX,HOST"	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Colombia	1997	J. Elphinstone	R303	ex Sequiera	Solanum lycopersicum	"SMT 43, CFBP 4611"	"Biovar 2a.SMT reference strain (EC official method),"
4027		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												USA	1997	J. Elphinstone	R301	ex Kelman	Solanum lycopersicum		Biovar 1.
4026		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Indonesia	1997	J. Elphinstone	R223	ex S. Eden-Green	Musa (Banana)		
4025		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Costa Rica	1997	J. Elphinstone	R283	ex Sequeria	Musa (Banana)		Biovar 1.
4012	FAP & VC. 2nd VC completed 2013. 3rd VC completed 2024- HB	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												China	1997	J. Elphinstone	R292	ex He	Morus sp(Mulberry)		Biovar 5. RFLP 10 (Cook et al).
4011	"GM,OX & HOST"	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												China	1997	J. Elphinstone	R288	ex He	Morus sp. (Mulberry)	"SMT 50, CFBP 4617, NCPPB 3850"	"Biovar 5. RFLP 20 (Cook et al).SMT reference strain (EC official method),"
4010	OX & HOST. 2nd VC completed 2013. 3rd VC completed 2023- HB	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Malaysia	1997	J. Elphinstone	R413	ex S. Eden-Green	Solanum lycopersicum		
4009	FAP & VC	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												USA	1997	J. Elphinstone	R300	ex Kelman	Nicotiana tabacum		Biovar 4. RFLP 17 (Cook et al).
4008	"GM,OX & HOST"	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												China	1997	J. Elphinstone	R293	ex He	Arachis hypogaea		Biovar 4. RFLP 16 (Cook et al).
4007	OX & HOST	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												China	1997	J. Elphinstone	R291	ex He	Morus sp(Mulberry)		Biovar 4. RFLP 16 (Cook et al)
4006	OX & HOST. 2nd VC completed 2013. 3rd VC completed 2023- HB	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	No											China	1997	J. Elphinstone	R289	ex He	Olea europaea		Biovar 4.
4005	"GM,OX & HOST"	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Philippines	1997	J. Elphinstone	R470	ex Quimio	Zingiber(Ginger)	"SMT 49, CFBP 4616"	"Biovar 4.SMT reference strain (EC official method),"
4004		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Costa Rica	1997	J. Elphinstone	R354	ex Gonzalez	Zingiber(Ginger)		Biovar 4.
4003	2nd VC done 2026- TMTC 5 years 	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	No											China	1997	J. Elphinstone	R294	ex He	Zingiber(Ginger)		Biovar 4. RFLP 23 (Cook et al).
4002	"GM,OX & HOST 2nd VC completed 2013. £rd VC completed 2024- HB"	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Australia	1997	J. Elphinstone	R279	ex A.C. Hayward	Zingiber(Ginger)		Biovar 4. RFLP 22 (Cook et al)
4001		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Australia	1997	J. Elphinstone	R277	ex A.C. Hayward	Zingiber(Ginger)		Biovar 4. RFLP 21 (Cook et al)
4000	2ND VC	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Thailand	1997	J. Elphinstone	R767	ex J. Janse	Zingiber(Ginger)		Biovar 3.
3999	Failed VC 03/11/2023. Reinstate public access when a new batch is created	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												Indonesia	1997	J. Elphinstone	R430	ex Supriadi	Zingiber(Ginger)		Biovar 3.
3998	"GM,OX & HOST, 2ND VC rpt. Failed VC 06/11/2023- Reinstate public access when new batch is created"	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996												China	1997	J. Elphinstone	R324	ex He	Zingiber (Ginger)		Biovar 3.
3998	"GM,OX & HOST, 2ND VC rpt. Failed VC 06/11/2023- Reinstate public access when new batch is created"	Ralstonia pseudosolanacearum																					
